venue_id,venue_name,city_name,country_name
1,"MA Chidambaram Stadium, Chepauk",Chennai,India
2,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
3,Nehru Stadium,Kochi,India
4,Feroz Shah Kotla,Delhi,India
5,Dr DY Patil Sports Academy,Mumbai,India
6,Eden Gardens,Kolkata,India
7,Sawai Mansingh Stadium,Jaipur,India
8,M Chinnaswamy Stadium,Bangalore,India
9,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India
10,Subrata Roy Sahara Stadium,Pune,India
11,Wankhede Stadium,Mumbai,India
12,Maharashtra Cricket Association Stadium,Pune,India
13,"Sardar Patel Stadium, Motera",Ahmedabad,India
14,Rajiv Gandhi International Stadium Uppal,Hyderabad (Deccan),India
15,Saurashtra Cricket Association Stadium,Rajkot,India
16,Holkar Cricket Stadium,Indore,India
